time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-02-03 16:00:00,True,False,winter,0.087,0.103,0.519
2024-02-03 17:00:00,True,False,winter,0.087,0.103,0.023
2024-02-03 19:00:00,True,False,winter,0.087,0.103,0.0
2024-02-04 05:00:00,True,False,winter,0.087,0.103,0.0
2024-02-04 07:00:00,True,False,winter,0.087,0.103,0.006
2024-02-04 08:00:00,True,False,winter,0.087,0.103,0.543
2024-02-04 09:00:00,True,False,winter,0.087,0.103,2.157
2024-02-04 10:00:00,True,False,winter,0.087,0.103,3.402
2024-02-04 11:00:00,True,False,winter,0.087,0.103,4.184
2024-02-04 12:00:00,True,False,winter,0.087,0.103,4.733
2024-02-04 13:00:00,True,False,winter,0.087,0.103,4.608
2024-02-04 14:00:00,True,False,winter,0.087,0.103,4.057
2024-02-04 15:00:00,True,False,winter,0.087,0.103,2.509
2024-02-04 16:00:00,True,False,winter,0.087,0.103,0.527
2024-02-04 17:00:00,True,False,winter,0.087,0.103,0.026
2024-02-04 19:00:00,True,False,winter,0.087,0.103,0.0
